the problem likely will mean corrective changes before the shuttle fleet starts flying again .	he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .	4.400
understand the meaning of something .	get the meaning of something .	4.6
take a risk or guess in hope of a favorable outcome	take a risk in the hope of a favorable outcome .	4.6
the act of annoying someone or something	the act of applying force to propel something .	0.2
change ( dramatically ) between high and low values	alternate dramatically between high and low values .	4.6
the activity of examining or assessing something	the act of designating or identifying something .	2.4
( cause to ) be anxious or preoccupied	cause to be balanced or suspended .	0.4
design for a specific purpose	plan something for a specific role or purpose or effect .	4.2
to combat or oppose someone or something	the act of forcing out someone or something .	2.6
( cause to ) form a cluster in either abstract or physical space .	cause to have , in the abstract sense or physical sense .	2.2
a mental grasp or understanding of something	understanding of the nature or meaning or quality or magnitude of something .	4.2
do something considered below one 's diginty	do something that one considers to be below one 's dignity .	4.6
( game ) a division during which one is allowed to play ( perhaps as offense ) .	( sports ) a division during which one team is on the offensive .	4.2
the act of cutting off length , snipping off	the act of clipping or snipping .	4.2
a sovereign regime and its assemblage	the sovereign and his advisers who are the governing power of a state .	3.8
the act of annoying someone or something	the act of raising something .	0.75
the extreme endpoint of something	the act or means of getting rid of something .	0.4
be or have a quality of being	the quality of being significant .	2.6
improve by pruning or polishing	improve or perfect by pruning or polishing .	4.4
the act of preserving or protecting something	the act of applying force to propel something .	0
register formally as a participant	register formally as a participant or member .	4.4
a lever that activates a firing mechanism , especially with a firearm	lever that activates the firing mechanism of a gun .	4
the act of beginning something new .	the act of ending something .	0.8
the act of annoying someone or something	the act of liberating someone or something .	0.2
cut into , possibly creating something new .	a reason for wanting something done .	0.6
a casual game of throwing a ball back and forth	a cooperative game in which a ball is passed back and forth .	3.6
come up , as of liquid or gas	take up , as of debts or payments .	0.2
cause to be immersed in	cause to be hanging or suspended .	0.4
the act of substituting one thing for another	the act of changing one thing for another thing .	3.75
the act of testing something .	a way or means to achieve something .	0.6
the act of validating the authenticity of something	the act of liberating someone or something .	0.8
amount of time that something is postponed	time during which some action is awaited .	3.8
reverse a direction , attitude or course of action , perhaps perceptually .	reverse ( a direction , attitude , or course of action ) .	3.8
an established or recognized right , formal or informal .	an established or recognized right .	4.4
the act of intentionally omitting something	the act of forming or establishing something .	0.2
the occupants who dwell on a level of a building	the occupants of a floor .	4.6
a method for solving a problem	the successful action of solving a problem .	3
cause to move with a flick or as if with a flick	cover with flakes or as if with flakes .	0
an observer of a process or activity	a member of a police force .	0.4
an address used for postal communication	the address where a person or organization can be communicated with .	4
spur on , urge , or deride by cheers and shouts .	spur on or encourage especially by cheers and shouts .	4
spare in quality or quantity	limit in quality or quantity .	2.8
the act of shoving something away	the act of hiring something or someone .	0.2
the apparent condition or state of something	the event consisting of the start of something .	1.8
engrave , shape or cut by chipping away at the surface	engrave or cut by chipping away at a surface .	4
something considered trite but amusing	something recalled to the mind .	0.6
the act of lifting something	the act of constructing something .	1.6
concrete enactment of an idea or concept	a concrete representation of an otherwise nebulous concept .	3.8
raise or haul up as if with a mechanism	affect with or as if with a cramp .	0.8
( cause to ) change from a solid to a liquid .	become liquid or fluid when heated .	4
( the act of making ) a measurement of something .	the act of making up your mind about something .	1
a duplicate of something , serving as a backup	something additional of the same kind .	3.2
( the act of making ) a measurement of something .	the act of removing or getting rid of something .	0.4
react , or respond to a call , command , or stimulus	react to a stimulus or command .	4.2
club or association of people with a shared interest	a formal association of people with similar interests .	4.4
free from obligations , service or confinement	free from obligations or duties .	4.4
the degree or amount of something	the act of dropping something .	0
the act of arriving at a certain place	the act of putting something in a certain place .	1.4
medium of exchange minted by a government	the official currency issued by a government or national bank .	3.4
advance or set forward in court	advance or set forth in court .	4.8
make a written note of something	make a written note of .	4
the act of explaining or defending something	the allotment of some amount by dividing something .	0.2
a citizen of ancient troy	a native of ancient troy .	3.8
the act of testing something .	the act of rending or ripping or splitting something .	0
the act of turning , rotating an object	the act of terminating a life .	0
the act of moving in a hurried manner .	the act of moving hurriedly and in a careless manner .	3.6
the act of clipping , cutting	the act of describing something .	0.2
physically raise from a lower position .	raise from a lower to a higher position .	4.2
the act of turning , rotating an object	the act of retaining something .	0.2
an increase in size as measured per unit of time	the rate of increase in size per unit time .	4.6
advance warning or notification of something	the first part or section of something .	0.6
the act of advocating or promoting something	the act of constructing something .	0.6
supply with water for crops , as with channels , ditches , or streams .	supply with water , as with channels or ditches or streams .	3.8
smother , surpress or lessen something	the act of testing something .	0.4
cause to be immersed in	cause to be interested or curious .	1.8
the human act of making something new .	the act of making or enacting laws .	0.6
the intended meaning of an instance of communication .	the intended meaning of a communication .	4.4
be given to , come into the possession of	come into the possession of .	4.4
utter in a certain way	react to in a certain way .	1.2
have or be covered with bristles	the state of being covered with unclean things .	1.6
the act of planning or deliberating	the act of choosing or selecting .	1.8
be located at or on top of something	make a film or photograph of something .	0
be in or establish communication with	move or establish in a new location .	0.4
adapt oneself to new or different conditions .	adapt or conform oneself to new or different conditions .	4.8
be located at or on top of something	an obligation to pay or do something .	0
a collection of something , often a large amount	a collection of things sharing a common attribute .	2.4
whip with or as if with a whisk	urge with or as if with a goad .	0
dysfunction or ailment of the heart	a disease of the heart .	4.4
decorate a manuscript with red	decorate ( manuscripts ) with letters painted red .	3.8
the act of devoting time and energy to something	the act of liberating someone or something .	0.6
verify something by comparing to a standard	check or regulate ( a scientific experiment ) by conducting a parallel experiment or comparing with another standard .	3.6
part , cease , or break association with ( something ) .	part ; cease or break association with .	4.6
put heels on a shoe	put a new heel on .	4
the act of preserving or protecting something	the act of raising something .	0.8
make images or sounds less sharp	make ( images or sounds ) sharp or sharper .	2.4
expel or eject saliva , sputum , or an object from the mouth .	expel or eject ( saliva or phlegm or sputum ) from the mouth .	4.4
measure the depth of a body of water	measure the depth of ( a body of water ) with a sounding line .	3.2
give a detailed account of	narrate or give a detailed account of .	4.4
a recurrent artistic theme or pattern	a theme that is repeated or elaborated in a piece of music .	3
the act of choosing or selecting	the act of looking or seeing or observing .	0.8
have a strong desire to do something	have a strong desire or urge to do something .	4.8
the activity of looking thoroughly in order to find something or someone .	the act of removing or getting rid of something .	0.2
person who is a social companion	a friend who is frequently in the company of another .	3.6
hold or place in equilibrium	hold or carry in equilibrium .	4.6
the act of accusing someone or something for being at fault	the management of someone or something .	0.4
work as a tinker ( fix pots and pans )	work as a tinker or tinkerer .	3.8
the act of allowing , bestowing something	the act of forming or establishing something .	0.6
the termination , ending of a meeting	the termination of a meeting .	5
scratch or scrape with claws or nails	attack as if with claws .	4
a social occasion , often official or formal	a formal or official social gathering or ceremony .	3.8
infer or believe to be the case	believe to be the case .	4.2
move in such a way as to avoid	make a sudden movement in a new direction so as to avoid .	4
the state of being absent .	the act of climbing something .	0
remove by pinching or snipping	sever or remove by pinching or snipping .	4.4
( cause to ) become a powder or as dust .	cause to become widely known .	0
prepare , arrange ; create or organize for a particular purpose	any area set aside for a particular purpose .	2
the act of people having sex	the act of climbing something .	0.2
to lecture formally to an audience	accuse formally of a crime .	0.2
the act of creating an artistic work	the act of creating written works .	2.8
the state of being in contact	the state of being excluded .	0.6
collect discarded , refused or damaged material	collect discarded or refused material .	3.8
an enterprise or company that publishes newsprint	a business firm that publishes newspapers .	4
the act of providing incentive to someone	the act of motivating ; providing incentive .	4
the activity of examining or assessing something	the act of examining resemblances .	2.2
make marks in the surface of .	make small marks into the surface of .	3.8
make a copy with the intent to deceive .	take up with the tongue .	0
the act of choosing or selecting	the act of clipping or snipping .	0.4
spare in quality or quantity	be equal to in quality or ability .	1.2
return to in thought or speech	return in thought or speech to something .	5
the act of testing something .	the act of climbing something .	0
manner of handling , managing someone or something	the management of someone or something .	4.4
the act of selecting or picking something	the act of decreasing or reducing something .	1
lay off -- put an end to a state or activity	put an end to a state or an activity .	4.2
move the body backwards and down into a comfortable resting position	move or arrange oneself in a comfortable and cozy position .	3.8
shine intensely ; emit a steady , even light from a source .	emit a steady even light without flames .	2.8
the act of purchasing back something previously sold .	the act of starting something .	0.2
reach or cause to reach the highest point , best something	an act ( or failure to act ) that disappoints someone .	0.2
a type of military aircraft	a unit of military aircraft .	3.8
the act of putting a preparation on something .	the state of taking in or encircling .	0.2
a person who plants or detonates explosives	a person who plants bombs .	3.8
make fit for a specific purpose	suit to a special purpose .	4.2
strike with horror , surprise , disgust	strike with horror or terror .	3.8
have the same value , be or become equivalent to something else	establish something as being earlier relative to something else .	2.2
a state of confusion or disorder .	throw into great confusion or disorder .	3.4
a public enclosure for animals , as dogs	a public enclosure for stray or unlicensed dogs .	4
a system by which one currency is exchanged for another , enabling international transactions	the system by which one currency is exchanged for another ; enables international transactions to take place .	4.8
the natural progression or development of something	the natural process of laying down a deposit of something .	1.8
the act of pulling an object	the act of choosing or selecting .	0.8
a perceptual distinction based on color or shading .	the perceptual effect of the juxtaposition of very different colors .	4.4
the act of purchasing back something previously sold .	the act of retaining something .	1.2
cook in cream or using cream .	add cream to one 's coffee , for example .	1.2
a negative or undesirable aspect of something	consider as part of something .	0.6
gear or develop something to a particular purpose	suit to a special purpose .	4.6
identify or pick out someone or something	the act of losing someone or something .	0.6
a state of being encircled	the state of being depleted .	0.2
read or conform to the metrical pattern of	conform to a metrical pattern .	4.4
a major branch of a tree	a small thin branch of a tree .	1.4
the act of lifting something	the act of starting something .	0.8
( cause to ) become a fluid , as when heated .	make ( a solid substance ) liquid , as by heating .	4.8
form schemes in an underhand manner	form intrigues ( for ) in an underhand manner .	4.4
identify or pick out someone or something	the act of forcing out someone or something .	1
the act of applying torture to the foot and leg	a form of foot torture in which the feet are encased in iron and slowly crushed .	3
move as if unable to control one 's manner or direction of movement .	walk as if unable to control one 's movements .	4
arrangement for managing assets on behalf of a beneficiary	something ( as property ) held by one party ( the trustee ) for the benefit of another ( the beneficiary ) .	3.8
make fit for a specific purpose	provide with ( something ) usually for a specific purpose .	4
the act of lifting something	the act of winding or twisting .	0.6
cause to move , cause to be moved	cause to lean to the side .	1.6
an indication of something , evidence	an indication of some hidden activity .	1.8
the state of being absent .	the state of being suspected .	0.6
( cause to ) break up or cease to function	stop functioning or cohering as a unit .	4
the selection of a lottery winner	the last section of a communication .	0
being in a protected state or condition	be in some specified state or condition .	2
the act of escaping , fleeing	the act of escaping physically .	4.2
build , make by combining materials or parts	make by combining materials and parts .	4
create a coating for something .	give a performance ( of something ) .	0.6
create a coating for something .	the act of projecting out from something .	0
restrict or limit the range of	limit the range or extent of .	4.8
the act of annoying someone or something	the act of dropping something .	0.2
the act of acknowledging the truth of something	the act of perceiving the odor of something .	0
the act of providing incentive to someone	the act of hiring something or someone .	1.8
an argument that gives grounds or justification for a position	the justification for some act or belief .	3.2
presentation of a musical theme	( music ) the presentation of a musical theme .	5
cause or permit to fall to the ground	let or cause to fall in drops .	2.8
move or sway in a sinuous fashion	to move or cause to move in a sinuous , spiral , or circular course .	4.4
sell or transport an item or idea abroad	cause to spread in another part of the world .	2.6
the act of taking an offer	the act of making a proposal .	0.8
a group of people appointed to a committee	a committee appointed to judge a competition .	2.6
intuitions , a hunch or feeling	maintain ( a theory , thoughts , or feelings ) .	1.4
situate , position , come to rest	settle into a position , usually on a surface or ground .	3.4
sever or remove by pinching or snipping ; tend by cutting .	sever or remove by pinching or snipping .	3.8
the act of lifting something	the act of damaging something or someone .	0
place limits on ; form the boundary of or be contiguous to .	form the boundary of ; be contiguous to .	4.4
the value of a currency 's conversion to another currency	the charge for exchanging currency of one country for currency of another .	3
the graduated arc of an instrument used to measure angles	the graduated arc that is attached to an instrument for measuring angles .	3.8
the act of lifting something	the act of testing something .	0.8
the act of escaping , fleeing	the act of retaining something .	0.4
people who are impoverished , without basic possessions	two people who are married to each other .	0
the act of putting a preparation on something .	give certain properties to something .	0.4
the act of explaining or defending something	the activity of supplying or providing something .	0.2
the act of lifting something	the act of raising something .	4.4
confine in or as if in a prison	enclose in or as if in a frame .	1.6
make a copy with the intent to deceive .	make believe with the intent to deceive .	3.2
the act of sorting things into categories	the act of distributing things into classes or categories of the same type .	4.2
fly in or on a glider plane	fly in or as if in a glider plane .	4
the act of choosing or selecting	the act of testing something .	1.4
open to members of all races and ethnic groups	open ( a place ) to members of all races and ethnic groups .	4.6
go after with the intent to follow or catch .	go after with the intent to catch .	4.2
the center region of an object	the center of an object .	4
an approximated amount of something	an appraisal of the value of something .	2.8
cover completely ; form a cover over ; expand over .	form a carpet-like cover ( over ) .	3.6
room where work or repairs are done	room where work is done .	4.2
the act of shoving something away	the act of testing something .	0.6
take possession of by legal authority ( for security ) .	take temporary possession of as a security , by legal authority .	3.6
hand over or put in	refer for judgment or consideration .	0.2
cause to turn from one course or use to another	send from one person or place to another .	2.4
the act of pulling a load	the act of dwelling in a place .	0
the act of annoying someone or something	the act of projecting out from something .	0.2
the act of talking about the features of something .	the act of projecting out from something .	1
turn from an upright/normal position	cause to overturn from an upright or normal position .	3.6
the act of lifting something	the act of dropping something .	0.2
the identification or the realization of something	the end or completion of something .	1
the act of concealing or disguising	the act of projecting out from something .	0.6
a document granting a right or privilege , as to an inventor .	a document granting an inventor sole rights to an invention .	3.8
the central area of an object	the center of an object .	4.6
the act of lifting something	the act of colliding with something .	0.6
the act of lifting something	the act of decreasing or reducing something .	0.4
the act of putting a preparation on something .	the act of stopping something .	0.4
the act of advocating or promoting something	the act of rending or ripping or splitting something .	0.6
have a distinctive or characteristic taste , perceptible by an experiencer .	have a distinctive or characteristic taste .	4
be a sign or indication of ; have as a meaning .	be a sign or indication of .	4.2
the general impression or appearance of something	the general outward appearance of something .	4.4
know , realize , and comprehend the meaning	know and comprehend the nature or meaning of .	4.8
make or create something for a specific function .	make something , usually for a specific function .	4
get rid of as if with water ( metaphorical )	get rid of as if by submerging .	3
the act of acknowledging the truth of something	the act of choosing or selecting .	0.6
change or conform to fit new or different conditions	adapt or conform oneself to new or different conditions .	4.4
the act of providing incentive to someone	the act of troubling or annoying someone .	0
a watch with a hinged lid to protect the face	a watch with a hinged metal lid to protect the crystal .	4
support , sustain , bear , or be responsible for	organize or be responsible for .	4
strive against another or others to attain a goal	compete for something ; engage in a contest ; measure oneself against others .	3.2
the act of testing something .	the act of cracking something .	0.6
gather or remove ( from a location ) for use .	remove from a position or office .	1.6
the act of directing attention , resources to something	the act of colliding with something .	0.2
ride on someone 's shoulders or back ; support on the back or shoulders .	ride on someone 's shoulders or back .	4
the act of combining , blending , integrating	the act of mixing together .	3.4
a solid 3d object with rectangular sides	a solid piece of something ( usually having flat rectangular sides ) .	3.2
the translation of an opus from one language to another	the act of moving from one place to another .	0.2
the act of annoying someone or something	the act of admitting someone to enter .	0
write differently or alter a piece or writing , perhaps to suit a different purpose .	rewrite so as to make fit to suit a new or different purpose .	4.4
a celebrity or entertainer who attracts a large audience	an entertainer who attracts large audiences .	4.25
dispose of something as useless and old ; physically tear apart .	dispose of ( something useless or old ) .	4
the state of being absent .	the state of being excommunicated .	0.4
rise to surface ; become visible or known	appear or become visible ; make a showing .	3.6
overcome with astonishment or disbelief	correct by punishment or discipline .	0
lessen in force or effect , restrain , weaken	lessen in force or effect .	3.8
the act of intentionally omitting something	the act of climbing something .	0
the act of advocating or promoting something	the act of affirming or asserting or stating something .	2.2
a list of items to be consulted and marked off	a list of items ( names or tasks etc. ) to be checked or consulted .	4.6
the act of testing something .	the act of stopping something .	0.6
the act of damaging something , causing breakage	the act of damaging something or someone .	3.2
put in a particular place or abstract location	put into a certain place or abstract location .	4.6
the act of perceiving a scent	the act of perceiving the odor of something .	4.4
the act of providing assistance , giving aid	the act of administering medication .	1.8
lessen in force , impact , or effect	lessen in force or effect .	4.6
cover with wooden boards ; secure	get on board of ( trains , buses , ships , aircraft , etc. ) .	1.4
the act of explaining or defending something	the act of removing or getting rid of something .	0
a lid or top of a container	covering for a hole ( especially a hole in the top of a container ) .	3.8
( cause to ) separate or move in different directions	to cause to separate and go in different directions .	4.6
cause to vibrate in a different pattern	cause to vibrate in a definite pattern .	2.4
the act of dividing or disconnecting .	the act of adding one thing to another .	0.8
decide upon or fix definitely/specify	decide upon or fix definitely .	4
provide a seat or base for	provide a feast or banquet for .	1.4
the act of explaining or defending something	the act of rending or ripping or splitting something .	0
an observer of a process or activity	a meeting devoted to a particular activity .	0.4
make keen ; give ( new ) life or energy to	give new life or energy to .	3.8
the statement , which appeared on a website used by islamists , said that al-qaeda fighters in islamic maghreb had attacked three army centers in the town of yakouren in tizi-ouzo .	the pronouncement released that the mujaheddin of al qaeda in islamic maghreb countries attacked 3 stations of the apostates in city of aekorn in tizi ouzou , which was posted upon the web page used by islamists .	3.8
- riyadh : saudi interior minister nayif bin abd-al aziz discusses specifically the terrorism dossier of the " astray group " ( the saudi branch of the al-qaeda organization ) during an ordinary meeting of the consultative council .	- riyad : while conducting a conventional consultative assembly session , naif bin abdel aziz , the interior minister of saudi arabia , , talks specifically about the record of terrorism of the " astray group " ( al-qaeda 's saudi offshoot ) .	4
now , the labor of cleaning up at the karaoke parlor is realized .	up till now on the location the cleaning work is already completed .	2.6
olli heinonen , the head of the international atomic energy agency delegation to iran , declared yesterday that the agency has reached an agreement with tehran on the method of conducting the negotiations pertaining to its nuclear program .	leader of international atomic energy agency delegation to iran , olli heinonen said yesterday , that the agency concluded a mutual understanding with tehran on the way to manage talks depending upon its atomic program .	4.4
the drunken boxing , drunken sword , taichi boxing , and mei boxing entranced the whole audience ; the hard qigong caused foreigners to exclaim with admiration over the hard head " arhat " molded by chinese martial arts ;	drunkard 's boxing , drunkard 's sword style , the " great ultimate " style , and plum flower style made the entire audience entranced ; hard qigong made the people who were from alien lands marvel at the " hard-headed arhats , " trained in chinese kung fu ;	3.8
it was logical that the two governments decide on the exchange of diplomatic relations , for each state to have an embassy and consulate in the other country , as otherwise there is no obligation of the citizens .	it was logical that the two governments to decide the exchange of diplomatic relations , for each state embassy and consulate in the other country , except that it is no obligation to the citizens .	4.4
the american secretary of state is executing a difficult process to " explain the content " of her statements in which she described the israeli offer of a partial freeze of settlement as " unprecedented " , while washington was demanding a complete freeze of settlement until now .	the american secretary of state is a difficult process to " explain the content of the " statements in which he described the israeli offer of a partial freeze of settlement as " unprecedented " , while washington was demanding a complete freeze of settlement until now .	3.8
intersection of opinions on the decision to transfer the trials of guantanamo to new york is a natural matter for such a thorny file that was on the agenda of priorities of the election campaign of the american president barack obama .	the opinions on the decision to transfer the trials of guantanamo to new york is a natural matter for a thorny file was on the agenda of the priorities of the election campaign of the american president barack obama .	4.6
after the aging pair 's suggestion to him to celebrate the spring festival together with them was denied , the old pair actually took it upon themselves to lend out their vehicle to the young person .	after the elderly couple invited the young man to spend chinese new year with them and were rejected , they went so far as to freely lend the young man their own auto .	4.2
are the armed forces reconstructing their forces ?	is the army working on reestablishing its power ?	4
a delegation from the chinese communist party , headed by zhou yongkang , member of the standing committee of the central committee of the political bureau of the chinese communist party , is scheduled to arrive tomorrow on a visit to sudan on which khartoum depends a lot , according to ismail .	it is scheduled to reach a delegation from the chinese communist party , headed by zhou yongkang , member of the standing committee of the central committee of the political bureau of the chinese communist party , tomorrow in a visit to sudan depends on khartoum a lot , according to ismail .	4.4
it came to a head . the al-qassam brigades had had it with this collaborator assembly 's furtherance of its zionist and american schemes to eliminate the islamic movement the afternoon of june 12th .	in the afternoon of june twelfth al-qassam brigades outraged for the pursuance of the traitor coterie its zionism and american projects to get ride of the islamic movement .	4.2
senior robs bank . . only to return to jail .	the elderly loots the credit union ... simply to return to jail	4
and showings such as " king of the beasts , , " and " 18 genres of martial arts of china " intoxicated audience members ; whereas " 3 champions combat lu-bu " and	everybody watching the show were dazzled by the programs , called " animals competing to be king of the beasts " , " skill in wielding the 18 kinds of traditional chinese weapons " and so on . what 's more , " three heroes combating lü bu " .	3.4
- cairo : possibly setting free ayman abdel aziz nour , the person from the egyptian opposition , who has been locked up for one and a half years , will be the topic of an egyptian court-issued ruling .	- cairo : egyptian court will take a decision on the potentiality of release on health grounds for egyptian opponent aymen nour who has spent a year and a half in prison .	4.2
this will be the first chinese enterprise to list directly on the tokyo stock exchange 's main board .	it became the first chinese corporation posted on tokyo stock exchange ( tse ) 's main board .	4.75
the neighborhood 's cafes and restaurants were visited by the guests . what a happy wedding !	there was a large number of people at this community 's dining rooms and buffets from the attendees ; what merry nuptials they were !	4.2
however the most harsh analysis is the analysis in maariv at the hand of ben kasbit . ben kasbit wrote : " did we gain victory in the armed conflict that commenced three hundred and sixty-five days ago exactly , or , rather , did we lose ? "	nevertheless , the most critical review is that one which was conducted by benn kespit in " maariv " , as he wrote : " did we gain victory in the war that flared up exactly since one year , or we lost it ?	4.2
stardock aquarium desktop is not a currently popular aquarium screen saver . it directly changes your desktop into an aquarium . while you are at work , there is beautiful fish swimming on the desktop .	this software is not an aquarium screensaver which is trendsetting ; on the contrary , one 's desktop is comprehensively changed into a fish tank by aquarium desktop by stardock , abounding with radiant fish swimming on one 's desktop while you earn your keep .	3.6
the question now is whether the reasoning of the director of audit can be broadened somewhat .	are we capable of broadening out some the office of financial investigation director ' s course of thought becomes , at this moment , the discussion .	3.6
this index , its only ambition is that it reflects the awareness about corruption by researchers sitting in germany , who are the ones who issued the index .	this index , only his ambition that give reflects the awareness about corruption by researchers sitting in germany , are the ones who issued the index .	4.4
a resolution allowing the formation of a force between the united nations and the african union made up of 26,000 soldiers and policemen has been prepared to allow the use of a large-scale force to protect civilians in darfur .	a provisional declaration was prepared authorizing the un / a.u. to create a 26,000-person joint force of policemen & soldiers and authorizing the widespread use of force in order to defend civilians in dar-fur .	4.6
the issue therefore does not concern certain views which provoke waves of opposition but essentially relates to a vision of the church 's role , its doctrine and its international message .	hence , this is not the issue of some beliefs that cause waves of opposition , but it pertains primarily to the concept of the task of the church , its faith and global vocation .	4.2
iranian foreign minister , manuchehr motaki , announced tuesday that a new meeting between iranian and american officials on iraq could be held in the " near future , " according to what iranian media said .	in accordance with what the iranian news media cited , foreign minister of iran manouchehr mottaki announced on tuesday that a additional meeting between iranian and united states representatives on iraq might take place in " the near future " .	4.4
waiting for providing the health portfolios for the remaining four states in the next few days .	waiting for providing the health portfolio for the remaining four states in the next few days .	5
shares of the suwaidi cable company , which is one of the best performing companies in the recent period , also fell by 3.8 % to close at a price of 77.50 pounds per share .	also the stock certificates of el sewedy cables company , which is one of the best executing establishments in the current days , declined at a rate of 3.8 percent to end the session at a price of 77.50 egyptian pounds for each stock certificate .	3.4
even more pertinent is that he has not proved his own strength on the nba court and is in no position to be haggling over terms with his boss .	not to mention that without demonstrating his competency on the n.b.a. court first off he 's unable to devise terms with his boss .	4.2
dr nadhif said : " we are in fact thinking of a single civil service law to replace the labor law . "	dr. nazif stated , " we certainly suggest a unified civil service law to replace the employees statute . "	4
the poll resolved all those enquiries .	every single one of those inquiries were given a reply by the study .	2.6
i apologize to all my loved ones for not being responsive or for being late due to the limitation of three replies and one subject per day . almubasher_bilkhair@hotmail.com	my apologies for the absence or postponement in replies , as it is because of the restriction of 1 subject and three replies per day . alumbasher _ bilhair @ hotmail.com	4.6
suggesting that these potatoes possess a gene that resists particular antibiotic drugs , a number environmental organizations have come down upon the food safety authority of europe ' s gathering , nonetheless .	notwithstanding , the conclusion reported by the efsa is disapproved of by some green groups , and , they warned that this type of potatoes consisted of a gene which withstood the force of a certain kind of antibiotics .	4.2
estimated to be finished next year , burj dubai is one item amid copious magnificent city planning undertakings in dubai .	dubai tower which is expected to be complete in the coming year , is viewed as one chain of plentiful outlines for expensive constructions located in the city of dubai .	2.8
since the beginning of this campaign in april , thousands of women have been cautioned and hundreds of them have been arrested for not abiding by sharia clothing rules .	hundreds of females were stopped for not adhering to the " legitimate " gown , as a result to the alert instructions given to thousands of them in the start of april 's campaign .	4
he spent 18 years of a 20-year sentence in prison .	he spent eighteen years in jail out of his original twenty year sentence .	4.6
this is the first time that the big powerful arab states stood openly with israel in its war on an islamic-arab enemy .	it is the first time that big powerful arab countries stood in public beside israel in the fight against islamic - arabic enemy .	4.4
some time later my mentor held me in an embrace and it made me really snug and exceedingly fuzzy . then i rose and landed a peck on the forehead of my guide .	afterwards as my mentor gave me a hug into his arms , i had a pleasant and amiable feeling ; subsequently , i got up and gave a kiss on the brow of my teacher .	3.8
the verdict on the kidnappers of the egyptian imam abu omar in italy , six years ago , shed light again on the issue of the secret american prisons of the cia around the world . asmahan khouri .	the verdict on the kidnappers of the egyptian imam abu omar in italy , six years ago , shed light again on the file of the secret american prisons of the cia around the world asmahan khouri .	5
he is dealing with al-qaeda as a central movement present in pakistan and afghanistan , and did not deal with the movement as a political situation and as a general case , and a network that could come out in any place .	it is dealing with al-qaeda as a central movement present in pakistan and afghanistan , and did not deal with the movement of political situation as a general , and the network could come out in any place .	4
during the trial , the public prosecutor said that the old , alcoholic thief had become homeless and committed the theft in order to return to prison .	during the tribunal , the da pointed out that the elderly who is addicted to alcohol burglar became outcast and went through with the theft in order to go back to jail .	4.6
gaza - from ashraf abu al-houl	gaza , written by ashraf aboul - houl :	4.8
the list of released prisoners included 6 women and 11 minors .	six ladies and eleven teenagers were among the acquited detainees 's listing .	4.6
tehran : discussions with venezuelan president hugo chavez	- city of tehran : conversations with president of venezuela hugo chavez .	4.8
at the same time , the conflict bolstered the position of the right as well as their figurehead , benjamin netanyahu , and it helped ehud barak to go back to israel 's government .	on the other hand , this war strengthened the position of the right and its leader benjamin netanyahu . moreover , it motivated ehud barak 's accession to government .	4.6
- cairo : the funeral of egyptian billionaire and son-in-law of the departed president gamal abdel nasser , ashraf marwan , who passed away under suspicious circumstances in london .	cairo : egyptian billionaire ashraf marwan , son-in-law of late president gamal abdel nasser , who passed away in the british capital in fishy circumstances was buried .	4.8
6 women in addition to 11 youngsters were listed on the account of freed detainees .	six ladies and eleven teenagers were among the acquited detainees 's listing .	4.5
russian deputy minister of foreign affairs alexander grushko said that this move by britain has caused relations between the two countries to become directly confrontational .	russian vice foreign minister alexander grushko states , the move of great britain has brought about an antagonistic relationship between russia and great britain .	3.8
do they still have time to wait for us to earn money to let them have a good life and let them be proud of us ???	will they still have time to hold on for us to gain dough in order to let them have a exceptional life and make them proud of us ?	4.6
there is nothing wrong with going to milwaukee ; they have no v.i.p.s there ; but this is actually what makes up his chance .	actually , it is not a bad choice that he goes to milwaukee for the reason that there are no big star there . on the contrary , that is his opportunity .	4
nine . ultimate device to cool you down - fans : considered as ancient as an " antique , " , hand fans ' health end result is incomparable to any other modern equipment to cool you down .	number nine . the best tool for lowering your body temperature -- the fan , since although it 's " an old-fashioned item " , modern tools for cooling your body in the summer can not compete with it , with regard to keeping you healthy .	3.6
rockström said that when rich countries increase their consumption , they also accelerate the exploitation of the world 's national resources , with the result that they emit more greenhouse gases .	rockstrom stated as nation-states that are prosperous increase their consumption , they expedite the usage of the world ' s natural materials also , resulting in the emission of more gas that causes the greenhouse effect .	4.6
and we said we are ready to open a new page and start the negotiations , the matter is now in the hands of the palestinians , we have shown and demonstrated our will to move forward , even if this is painful and costly politically for netanyahu .	and we said we are ready to open a new page and start the negotiations , the matter is now in the hands of the palestinians , have shown us and mainland on our will to move forward , even if this is painful and costly politically netanya .	4.2
could the tv be out of order ?	is there a possibility that the telly is not working ?	4.6
currently a group of australian physicists are accelerating their work to realize everybody 's wish .	scientists specializing in physics from australia , as a gang , are increasing their work , at this very moment , so everybody ' s dreams materialize .	4.4
the iraqi council of representatives managed to approve the election law after long sessions .	the iraqi council of representatives to approve the election law after long sessions .	4.6
all writers will come to pass *** and time will preserve what their hands have written *** so write with your hand the best of books *** which you will be happy to see on judgment day .	all creators shall cease to exist , only history will save forever what their hands had prescribed . therefore , write the best your hands can offer that makes you happy in the resurrection to look at .	3.6
( correspondent zeng weikang and press correspondent for guangdong science and technology assocation )	( reporter weikang zeng , a correspondent for guangdong association for science and technology )	4.4
